ID,score,is_solution
XMetab__5280934___c____,3,0
XMetab__5280934___r____,1,0
XMetab__5280934___l____,2,0
XMetab__264___c____,1,0
XMetab__264___m____,2,0
XMetab__264___e____,2,0
XMetab__931___e____,2,0
XMetab__931___c____,2,0
XMetab__16950___c____,2,0
XMetab__16950___e____,2,0
XMetab__4594___e____,2,0
XMetab__4594___c____,2,0
XMetab__1045___c____,2,0
XMetab__1045___e____,1,0
XMetab__1045___m____,2,0
XMetab__5280360___c____,3,0
XMetab__5280360___e____,2,0
XMetab__5280360___r____,1,0
XMetab__5280360___m____,3,0
XMetab__445638___e____,2,0
XMetab__445638___c____,2,0
XMetab__445638___r____,2,0
XMetab__445638___l____,1,0
XMetab__445638___m____,1,0
XMetab__1032___m____,1,0
XMetab__1032___c____,2,0
XMetab__1032___e____,2,0
XMetab__187___e____,3,0
XMetab__187___n____,2,0
XMetab__187___c____,2,0
XMetab__6419712___g____,2,0
XMetab__6419712___c____,2,0
XMetab__6419712___l____,2,0
XMetab__449171___r____,2,0
XMetab__449171___c____,2,0
XMetab__449171___e____,2,0
XMetab__5870___r____,2,0
XMetab__5870___c____,2,0
XMetab__5870___e____,1,0
XMetab__60961___c____,3,1
XMetab__60961___e____,3,0
XMetab__60961___m____,2,0
XMetab__60961___l____,1,0
XMetab__124886___e____,1,0
XMetab__124886___c____,2,0
XMetab__124886___r____,1,0
XMetab__124886___m____,2,0
XMetab__6262___c____,2,0
XMetab__6262___m____,1,0
XMetab__6262___e____,1,0
XMetab__5280723___e____,1,0
XMetab__5280723___c____,2,0
XMetab__439456___c____,2,0
XMetab__36314___e____,2,0
XMetab__36314___c____,2,0
XMetab__961___c____,4,0
XMetab__961___e____,2,0
XMetab__24316___c____,2,0
XMetab__24316___n____,2,0
XMetab__24316___e____,3,0
XMetab__24316___g____,2,0
XMetab__6322___m____,1,0
XMetab__6322___e____,1,0
XMetab__6322___c____,2,0
XMetab__6013___e____,2,0
XMetab__6013___r____,2,0
XMetab__6013___c____,1,0
XMetab__5819___e____,2,0
XMetab__5819___c____,1,0
XMetab__14985___e____,2,0
XMetab__14985___c____,2,0
XMetab__104806___c____,2,0
XMetab__104806___e____,2,0
XMetab__4485___e____,2,0
XMetab__4485___c____,3,0
XMetab__68841___c____,3,0
XMetab__68841___e____,2,0
XMetab__5920___e____,2,0
XMetab__5920___c____,2,0
XMetab__6305___c____,1,0
XMetab__6305___e____,2,0
XMetab__445580___e____,2,0
XMetab__445580___c____,2,0
XMetab__445580___l____,2,0
XMetab__445580___r____,2,0
XMetab__10133___r____,2,0
XMetab__10133___c____,3,0
XMetab__10133___e____,1,0
XMetab__252___c____,2,0
XMetab__252___n____,1,0
XMetab__252___e____,2,0
XMetab__444795___e____,2,0
XMetab__444795___c____,1,0
XMetab__444795___n____,1,0
XMetab__444795___r____,2,0
XMetab__5280581___e____,2,0
XMetab__5280581___c____,2,0
XMetab__5280581___l____,2,0
XMetab__5280581___r____,2,0
XMetab__5756___r____,2,0
XMetab__5756___c____,1,0
XMetab__5756___e____,1,0
XMetab__10635___c____,2,0
XMetab__10635___e____,3,0
XMetab__10635___r____,2,0
XMetab__66414___c____,2,0
XMetab__66414___e____,2,0
XMetab__9700___l____,2,0
XMetab__9700___m____,1,0
XMetab__9700___e____,3,0
XMetab__9700___c____,2,0
XMetab__11005___e____,1,0
XMetab__11005___c____,2,0
XMetab__11005___r____,2,0
XMetab__750___c____,2,0
XMetab__750___e____,2,0
XMetab__750___m____,2,0
XMetab__750___x____,3,0
XMetab__750___r____,2,0
XMetab__1150___c____,2,0
XMetab__1150___e____,1,0
XMetab__813___c____,2,0
XMetab__813___e____,1,0
XMetab__813___g____,1,0
XMetab__15993___c____,2,0
XMetab__15993___n____,2,0
XMetab__15993___m____,1,0
XMetab__440996___c____,3,0
XMetab__8977___c____,2,0
XMetab__8977___m____,2,0
XMetab__8977___n____,2,0
XMetab__8977___e____,1,0
XMetab__8977___g____,2,0
XMetab__221493___e____,2,0
XMetab__221493___c____,2,0
XMetab__221493___r____,1,0
XMetab__221493___m____,2,0
XMetab__221493___x____,1,0
XMetab__445354___e____,2,0
XMetab__445354___c____,1,0
XMetab__445354___r____,2,0
XMetab__33032___m____,3,0
XMetab__33032___c____,2,0
XMetab__33032___r____,1,0
XMetab__33032___e____,1,0
XMetab__33032___l____,1,0
XMetab__6804___e____,2,0
XMetab__6804___g____,2,0
XMetab__6804___c____,1,0
XMetab__6804___n____,1,0
XMetab__6804___l____,2,0
XMetab__778___c____,1,0
XMetab__778___e____,2,0
XMetab__1125___c____,1,0
XMetab__1125___e____,2,0
XMetab__5497182___e____,3,0
XMetab__5497182___c____,2,0
XMetab__5497182___r____,1,0
XMetab__5497181___e____,3,0
XMetab__5497181___c____,1,0
XMetab__5497181___r____,2,0
XMetab__5280483___e____,2,0
XMetab__5280483___c____,2,0
XMetab__5280884___r____,2,0
XMetab__5280884___c____,1,0
XMetab__5280884___e____,2,0
XMetab__5505___e____,3,0
XMetab__5505___c____,3,0
XMetab__6047___e____,1,0
XMetab__6047___c____,2,0
XMetab__5280493___e____,2,0
XMetab__5280493___r____,1,0
XMetab__5280493___c____,2,0
XMetab__5280352___e____,2,0
XMetab__5280352___c____,1,0
XMetab__5280352___r____,2,0
XMetab__5280933___e____,2,0
XMetab__5280933___c____,2,0
XMetab__5280933___r____,1,0
XMetab__5280933___l____,2,0
XMetab__5962___c____,2,0
XMetab__5962___m____,1,0
XMetab__5962___x____,1,0
XMetab__5962___e____,2,0
XMetab__5962___n____,1,0
XMetab__6030___e____,2,0
XMetab__6030___l____,3,0
XMetab__6030___g____,2,0
XMetab__6030___c____,1,0
XMetab__6030___r____,2,0
XMetab__6030___n____,2,0
XMetab__3001028___e____,2,0
XMetab__3001028___c____,2,0
XMetab__3001028___r____,2,0
XMetab__6131___c____,1,0
XMetab__6131___g____,1,0
XMetab__6131___n____,2,0
XMetab__6131___m____,2,0
XMetab__6131___e____,3,0
XMetab__6131___l____,2,0
XMetab__6131___r____,2,0
XMetab__439190___c____,2,0
XMetab__903___c____,3,0
XMetab__445675___g____,2,0
XMetab__445675___c____,2,0
XMetab__445675___r____,2,0
X1591,1,0
X1594,2,0
X3948,2,0
X3939,2,0
X1738,2,0
X8050,2,0
X127,2,0
X124,2,0
X1312,1,0
X883,4,0
X1644,1,0
X2571,2,0
X6822,1,0
X38,2,0
X10449,2,0
X32,1,0
X162417,2,0
X140838,1,0
X34,1,0
X51,2,0
X48,1,0
X55902,1,0
X1571,3,0
X262,2,0
X112,2,0
X109,2,0
X114,1,0
X108,2,0
X113,2,0
X107,2,0
X196883,2,0
X115,2,0
X111,1,0
X1374,2,0
X1376,3,0
X211,1,0
X216,2,0
X8854,1,0
X231,1,0
X384,1,0
X410,2,0
X790,2,0
X644,2,0
X847,2,0
X2538,1,0
X1373,2,0
X10423,2,0
X64781,1,0
X1103,2,0
X5130,2,0
X1152,1,0
X2650,2,0
X1036,2,0
X1606,1,0
X2745,3,0
X6319,1,0
X9415,2,0
X3992,1,0
X1716,3,0
X1581,1,0
X1723,1,0
X1809,2,0
X1808,2,0
X1621,2,0
X5223,2,0
X1806,2,0
X7083,2,0
X2182,1,0
X2180,3,0
X2181,1,0
X1579,2,0
X226,1,0
X5207,1,0
X5209,2,0
X5208,2,0
X10840,2,0
X2683,1,0
X2820,4,0
X2539,2,0
X26301,2,0
X7915,1,0
X2992,2,0
X2997,2,0
X2134,2,0
X5834,2,0
X5837,3,0
X5836,1,0
X2729,1,0
X2730,1,0
X2746,2,0
X7001,2,0
X5052,1,0
X2876,2,0
X2977,2,0
X2983,1,0
X4882,2,0
X2982,2,0
X2986,1,0
X2984,2,0
X4881,2,0
X3000,1,0
X53905,2,0
X3037,2,0
X2645,1,0
X3098,2,0
X3067,2,0
X3162,2,0
X3163,1,0
X3292,3,0
X3418,2,0
X3795,1,0
X3931,1,0
X5321,2,0
X4023,2,0
X4199,3,0
X1543,1,0
X1544,2,0
X4143,3,0
X4598,1,0
X3635,2,0
X8867,2,0
X3636,1,0
X3706,2,0
X80271,1,0
X3707,2,0
X952,2,0
X953,2,0
X4831,2,0
X4830,2,0
X4846,2,0
X4842,1,1
X4843,2,0
X55,2,1
X593,3,0
X1586,1,0
X1588,2,0
X1576,2,0
X1548,2,0
X1559,3,0
X1577,3,0
X5048,1,0
X5338,2,0
X5337,2,1
X130013,1,0
X5139,3,0
X8654,3,0
X5140,2,0
X5138,2,0
X51529,2,0
X5148,1,0
X27306,2,0
X5743,2,0
X5742,2,0
X5053,3,0
X5728,2,0
X8871,3,0
X8394,2,0
X23396,2,0
X8395,2,0
X55361,2,0
X5298,2,0
X5291,3,0
X5295,2,0
X5293,2,0
X8503,2,0
X5296,2,0
X5290,1,0
X5294,2,1
X23236,1,0
X5336,2,0
X5330,4,0
X5335,2,0
X51196,2,0
X5333,1,0
X5331,1,0
X5287,1,0
X5286,3,0
X200576,2,0
X8396,2,0
X5305,1,0
X5289,2,0
X5319,3,0
X9588,2,0
X4353,2,0
X9791,2,0
X5805,2,0
X10157,1,0
X3176,2,0
X6342,1,1
X10558,1,0
X2098,2,0
X56848,2,1
X8877,1,0
X6609,3,0
X6649,2,0
X6647,2,0
X6611,3,1
X2222,2,0
X15,2,0
X6390,1,0
X5092,2,0
X7296,2,0
X7166,3,0
X121278,2,0
X7054,2,0
X7306,2,0
X5167,2,0
X54600,2,0
X7364,2,0
X2936,2,0
X22978,2,0
X84618,2,0
X875,2,0
X249,3,0
X8833,2,0
X5160,3,0
X5162,2,0
X5161,1,0
X50484,1,0
X6241,2,0
X3156,2,0
X25830,1,0
X1555,2,0
X1636,2,0
X9365,3,0
X5315,2,0
X8897,2,0
X376497,2,0
X3658,3,0
X383,1,0
X1503,2,0
X56474,3,0
X2023,1,0
X2597,2,0
X2673,2,0
X2643,1,0
X2821,2,0
X5236,2,0
X210,2,0
X7167,2,0
X31,2,0
X5471,2,0
X2978,2,0
X4953,2,0
X7298,2,0
X1728,2,0
X3991,1,0
X23175,2,0
X8473,2,0
X56983,2,0
X10728,2,0
X8644,2,0
X3930,2,0
X1155,2,0
X8974,2,1
X29085,1,0
X23371,2,0
X3705,2,0
X7299,3,0
X55904,2,0
X9739,2,0
X6839,2,0
X84444,2,0
X9757,2,0
X51111,2,0
X55870,1,0
X4297,2,0
X84787,2,0
X83852,1,0
X23067,2,0
X9869,2,0
X80854,2,0
X79723,2,0
X64324,1,0
X8085,1,0
X79813,1,0
X29072,2,0
X387893,2,0
X10919,1,0
X10553,1,0
X1487,1,1
X51741,1,0
X250,1,0
X251,2,0
X27159,2,0
X5143,3,0
X5144,3,0
X1737,2,0
XMetab__428___c____,2,0
XGene13__8639,2,0
XGene13__26,2,0
XGene13__314,1,0
XMetab__2425dhvitd2___m____,2,0
XGene14__1a_24_25VITD2Hm,3,0
XMetab__9547243___m____,1,0
XGene15__1a_25VITD2Hm,2,0
XMetab__1194___x____,3,0
XGene17__1PPDCRp,2,0
XMetab__22833566___m____,2,0
XGene22__1591,2,0
XGene23__1591,2,0
XGene29__1594,2,0
XGene30__1594,1,0
XMetab__2amac___c____,2,0
XGene31__10993,2,0
XMetab__10214___c____,1,0
XGene32__6818,1,0
XMetab__5460448___c____,2,0
XGene34__2DR1PP,1,0
XMetab__11266___c____,3,0
XGene35__92483,3,0
XGene35__92483_reverse,2,0
XMetab__58___c____,1,0
XGene35__3948,1,0
XGene35__3948_reverse,2,0
XGene35__55293,2,0
XGene35__55293_reverse,1,0
XGene35__3945_3939,2,0
XGene35__3945_3939_reverse,1,0
XGene35__3939,3,0
XGene35__3939_reverse,4,0
XGene35__160287,2,0
XGene35__160287_reverse,1,0
XGene35__3945,2,0
XGene35__3945_reverse,2,0
XMetab__71___m____,2,0
XGene39__4967_1738_8050_1743,1,0
XMetab__151725___c____,2,0
XGene41__130,4,0
XGene41__130_reverse,2,0
XMetab__91528___c____,1,0
XGene41__127,1,0
XGene41__127_reverse,1,0
XGene41__125_124,2,0
XGene41__125_124_reverse,1,0
XGene41__131,2,0
XGene41__131_reverse,3,0
XGene41__126_124,3,0
XGene41__126_124_reverse,1,0
XGene41__128,2,0
XGene41__128_reverse,2,0
XGene41__137872,2,0
XGene41__137872_reverse,2,0
XGene41__125_126,1,0
XGene41__125_126_reverse,1,0
XMetab__547___c____,2,0
XMetab__16757548___c____,2,0
XGene43__1312,2,0
XMetab__119219___c____,1,0
XGene45__218,2,0
XGene45__222,2,0
XGene45__220,2,0
XGene45__221,2,0
XGene46__222,2,0
XGene46__222_reverse,2,0
XGene46__221,3,0
XGene46__221_reverse,2,0
XGene46__218,1,0
XGene46__218_reverse,2,0
XGene47__221,2,0
XGene47__218,3,0
XGene47__220,1,0
XGene48__221,2,0
XGene48__221_reverse,2,0
XMetab__85782___c____,2,0
XGene48__222,2,0
XGene48__222_reverse,1,0
XMetab__979___m____,1,0
XGene49__34HPLFM,3,0
XMetab__979___c____,2,0
XGene50__3242,2,0
XMetab__296___m____,1,0
XGene52__18,4,0
XGene52__18_reverse,3,0
XMetab__51___m____,2,0
XMetab__439434___m____,1,0
XMetab__3dphb___m____,2,0
XGene54__3DPHBH1,2,0
XGene55__3DPHBH2,2,0
XMetab__3dsphgn___c____,2,0
XGene56__2531,2,0
XMetab__3hanthrn___c____,2,0
XGene57__23498,1,0
XGene58__55268,2,0
XMetab__11966146___m____,2,0
XMetab__3hibutcoa___m____,1,0
XGene59__3HBCOAHLm,1,0
XMetab__51___c____,1,0
XMetab__11811___c____,1,0
XGene60__51166,2,0
XGene60__883,2,0
XGene61__1644,1,0
XMetab__151276___c____,2,0
XGene62__218,2,0
XGene62__218_reverse,1,0
XMetab__1738___c____,2,0
XGene62__221,2,0
XGene62__221_reverse,2,0
XGene62__222,3,0
XGene62__222_reverse,1,0
XGene62__220,1,0
XGene62__220_reverse,2,0
XMetab__440729___c____,1,0
XGene66__222,2,0
XGene66__220,2,0
XGene66__221,1,0
XGene66__218,1,0
XGene67__222,2,0
XGene67__222_reverse,1,0
XMetab__736172___c____,2,0
XGene67__220,2,0
XGene67__220_reverse,1,0
XGene67__221,2,0
XGene67__221_reverse,1,0
XGene67__218,2,0
XGene67__218_reverse,1,0
XMetab__1669___c____,2,0
XGene68__4128,2,0
XGene68__4129,2,0
XMetab__28167170___c____,2,0
XGene70__51380,1,0
XGene70__2571,2,0
XGene70__2572,2,0
XGene72__2805,2,0
XMetab__28167170___m____,2,0
XGene73__2806,3,0
XMetab__3snpyr___c____,2,0
XGene74__3SPYRSP,3,0
XMetab__3snpyr___m____,2,0
XGene75__3SPYRSPm,3,0
XMetab__5816___c____,2,0
XGene76__4128,3,0
XGene76__4129,2,0
XGene77__4128,2,0
XGene77__4129,2,0
XGene78__4129,2,0
XGene78__8639,2,0
XGene78__26,2,0
XGene78__314,1,0
XGene78__4128,1,0
XMetab__147899___m____,1,0
XGene80__4HBZCOAFm,2,0
XMetab__4hbzcoa___m____,1,0
XGene81__4HBZFm,2,0
XMetab__440851___m____,1,0
XGene83__8659,2,0
XMetab__440113___c____,1,0
XGene84__222,2,0
XGene84__222_reverse,2,0
XMetab__127___c____,1,0
XGene84__220,2,0
XGene84__220_reverse,2,0
XGene84__221,1,0
XGene84__221_reverse,2,0
XGene84__218,1,0
XGene84__218_reverse,2,0
XMetab__4nph___c____,2,0
XGene90__6799,2,0
XGene90__6817,1,0
XGene90__6818,2,0
XGene96__6822,3,0
XGene96__6818,2,0
XMetab__144___c____,2,0
XGene102__1644,1,0
XMetab__74688___c____,1,0
XGene104__316,2,0
XGene105__4128,1,0
XGene105__4129,3,0
XMetab__53477854___l____,2,0
XGene122__4125,2,0
XMetab__galgluside_hs___c____,2,0
XMetab__18068___c____,1,0
XGene123__53947,2,0
XMetab__galgluside_hs___g____,2,0
XMetab__18068___g____,1,0
XGene124__53947,2,0
XMetab__T_antigen___g____,1,0
XGene125__51146,2,0
XMetab__core2___g____,2,0
XGene126__51146,2,0
XMetab__215___c____,1,0
XGene127__8639,2,0
XMetab__207___m____,1,0
XGene129__AASAD3m,2,0
XMetab__469___c____,2,0
XGene130__51166,2,0
XGene130__51166_reverse,2,0
XMetab__71___c____,1,0
XMetab__fucgalacglcgalgluside_hs___g____,2,0
XGene131__28,2,0
XGene132__28,2,0
XMetab__fuc12gal14acglcgalgluside_hs___g____,2,0
XGene133__28,2,0
XGene134__28,2,0
XMetab__fucgalacgalfuc12gal14acglcgalgluside_hs___g____,2,0
XGene135__28,2,0
XMetab__fucgalacglcgal14acglcgalgluside_hs___g____,1,0
XGene136__28,1,0
XMetab__fucgalacgalfucgalacglcgal14acglcgalgluside_hs___g____,1,0
XGene137__28,1,0
XGene138__28,1,0
XMetab__fucfucgalacglcgalacglcgal14acglcgalgluside_hs___g____,1,0
XGene139__28,2,0
XGene140__18,2,0
XGene140__18_reverse,1,0
XMetab__1112___m____,2,0
XMetab__439255___c____,2,0
XGene141__ABTD,1,0
XGene141__ABTD_reverse,2,0
XMetab__22253___c____,2,0
XMetab__2maacoa___m____,2,0
XGene145__38,2,0
XGene145__38_reverse,2,0
XMetab__439164___m____,2,0
XGene145__3032,2,0
XGene145__3032_reverse,1,0
XGene145__10449,2,0
XGene145__10449_reverse,1,0
XMetab__440606___x____,2,0
XMetab__440604___x____,2,0
XMetab__11966197___x____,2,0
XMetab__22833663___x____,2,0
XMetab__3ohxccoa___x____,1,0
XGene159__32,1,0
XGene161__84532,2,0
XGene161__79611,3,0
XMetab__35717___c____,1,0
XGene172__ACGALK,2,0
XMetab__8583___c____,2,0
XGene173__ACGALK2,2,0
XMetab__121988___c____,1,0
XGene176__64841,2,0
XMetab__439174___c____,2,0
XGene177__55577,2,0
XGene178__5238,1,0
XGene178__5238_reverse,2,0
XMetab__440272___c____,3,0
XMetab__acgpail_hs___c____,1,0
XGene182__9487,2,0
XGene183__162417,2,0
XGene184__43,2,0
XMetab__311___c____,1,0
XGene187__47,2,0
XMetab__21918217___c____,1,0
XMetab__1005___c____,2,0
XGene196__54187,2,0
XMetab__65127___c____,1,0
XGene197__54187,2,0
XMetab__440962___c____,2,0
XGene199__140838,2,0
XGene199__54,1,0
XGene199__51205,3,0
XMetab__445063___c____,2,0
XGene203__ACNMLr,1,0
XGene203__ACNMLr_reverse,3,0
XMetab__439281___c____,3,0
XMetab__439371___m____,2,0
XMetab__265___m____,1,0
XMetab__439855___m____,2,0
XGene206__3712,2,0
XGene207__34,2,0
XGene207__27034,1,0
XGene208__134526,1,0
XGene209__51,1,0
XMetab__439232___c____,2,0
XGene210__95,2,0
XMetab__311___m____,3,0
XGene211__50,2,0
XGene211__50_reverse,2,0
XMetab__1198___m____,2,0
XGene211__48,1,0
XGene211__48_reverse,2,0
XMetab__5280796___x____,2,0
XGene212__8309,2,0
XMetab__15942888___x____,1,0
XGene213__8309,2,0
XGene216__55902,2,0
XGene216__65985,2,0
XMetab__176___m____,2,0
XGene218__438,2,0
XMetab__8299___c____,2,0
XGene222__1571,1,0
XMetab__180___c____,3,0
XGene223__1571,2,0
XGene224__100,2,0
XGene225__100,2,0
XMetab__96___m____,1,0
XGene226__ADCim,2,0
XGene229__26289,2,0
XGene229__26289_reverse,2,0
XGene230__50808,2,0
XGene230__50808_reverse,2,0
XMetab__12599___c____,1,0
XGene231__26289_reverse,1,0
XGene232__262,1,0
XGene233__112,2,0
XGene233__55811,1,0
XGene233__109,1,0
XGene233__114,2,0
XGene233__108,2,0
XGene233__113,2,0
XGene233__107,2,0
XGene233__196883,1,0
XGene233__115,1,0
XGene233__111,2,0
XMetab__440940___c____,2,0
XGene239__11164,2,0
XMetab__adrncoa___c____,2,0
XGene243__1375,2,0
XGene243__1375_reverse,1,0
XMetab__53477825___c____,1,0
XGene243__126129,2,0
XGene243__126129_reverse,1,0
XGene243__1374,2,0
XGene243__1374_reverse,2,0
XMetab__53477825___m____,1,0
XGene244__1376,3,0
XGene244__1376_reverse,2,0
XMetab__adrncoa___m____,1,0
XMetab__10238___c____,2,0
XGene248__9060,3,0
XGene248__9061,2,0
XMetab__447145___c____,3,0
XGene249__158,2,0
XMetab__160666___c____,2,0
XGene250__158,2,0
XMetab__ksii_core4_pre2___g____,3,0
XGene252__79369,1,0
XGene252__10678,1,0
XGene252__11041,1,0
XGene252__146712,2,0
XGene252__374907,2,0
XGene252__93010,2,0
XGene252__10331,2,0
XMetab__ksii_core4_pre4___g____,2,0
XGene253__10678,1,0
XGene253__11041,2,0
XGene253__374907,1,0
XGene253__93010,2,0
XGene253__146712,4,0
XGene253__79369,2,0
XGene253__10331,1,0
XMetab__ksii_core4_pre7___g____,1,0
XGene254__10678,1,0
XGene254__11041,2,0
XGene254__374907,2,0
XGene254__93010,2,0
XGene254__146712,1,0
XGene254__79369,1,0
XGene254__10331,2,0
XMetab__ksii_core2_pre2___g____,1,0
XGene255__11041,2,0
XGene255__10678,2,0
XGene255__93010,2,0
XGene255__374907,2,0
XGene255__146712,2,0
XGene255__10331,2,0
XGene255__79369,3,0
XMetab__ksii_core2_pre4___g____,1,0
XGene256__79369,2,0
XGene256__374907,1,0
XGene256__11041,2,0
XGene256__146712,2,0
XGene256__93010,2,0
XGene256__10331,2,0
XGene256__10678,2,0
XMetab__ksii_core2_pre7___g____,2,0
XGene257__10331,1,0
XGene257__11041,1,0
XGene257__374907,2,0
XGene257__10678,1,0
XGene257__79369,2,0
XGene257__93010,2,0
XGene257__146712,2,0
XMetab__199___m____,1,0
XGene258__79814,2,0
XMetab__Rtotal2coa___c____,2,0
XMetab__alpa_hs___c____,2,0
XGene259__10555,2,0
XGene259__137964,1,0
XGene259__56895,1,0
XGene259__56894,2,0
XGene259__55326,3,0
XGene259__10554,3,0
XGene259__129642,2,0
XMetab__5950___m____,1,0
XMetab__760___m____,2,0
XGene260__64902,2,0
XGene260__64850,1,0
XMetab__5950___x____,2,0
XMetab__760___x____,3,0
XGene261__189,2,0
XMetab__n2m2nmn___l____,2,0
XGene265__3073,2,0
XGene265__3074,1,0
XGene265__3073_3074,3,0
XMetab__n2m2mn___l____,2,0
XGene266__3073,2,0
XGene266__3074,2,0
XGene266__3073_3074,2,0
XMetab__161500___c____,2,0
XGene267__10606,2,0
XGene267__10606_reverse,1,0
XMetab__165388___c____,2,0
XGene272__1645,2,0
XMetab__5284270___c____,2,0
XGene273__1109,1,0
XMetab__5284271___c____,1,0
XGene274__1109,2,0
XMetab__123743___c____,1,0
XGene275__6718,1,0
XMetab__3081958___c____,1,0
XGene276__6718,2,0
XGene285__212,1,0
XGene285__23464,2,0
XGene285__211,1,0
XMetab__5950___c____,1,0
XGene287__2875,3,0
XGene287__2875_reverse,1,0
XGene287__84706,1,0
XGene287__84706_reverse,2,0
XMetab__1030___c____,2,0
XGene290__127,2,0
XGene290__284273,2,0
XGene290__125,1,0
XGene290__128,2,0
XGene290__131,2,0
XGene290__125_124,2,0
XGene290__124,2,0
XGene290__130,2,0
XGene290__137872,1,0
XGene290__125_126,1,0
XGene290__126_124,2,0
XGene290__126,3,0
XMetab__12ppd_S___c____,1,0
XGene291__130,3,0
XGene291__125,2,0
XGene291__125_124,2,0
XGene291__128,3,0
XGene291__126,2,0
XGene291__284273,2,0
XGene291__137872,2,0
XGene291__127,1,0
XGene291__124,2,0
XGene291__126_124,2,0
XGene291__125_126,2,0
XGene291__131,2,0
XMetab__439350___c____,1,0
XGene292__126,1,0
XGene292__137872,1,0
XGene292__126_124,2,0
XGene292__127,2,0
XGene292__130,2,0
XGene292__284273,1,0
XGene292__125_124,1,0
XGene292__128,2,0
XGene292__124,2,0
XGene292__125,2,0
XGene292__131,1,0
XGene292__125_126,2,0
XMetab__439231___c____,1,0
XGene293__126,2,0
XGene293__137872,2,0
XGene293__126_124,2,0
XGene293__127,2,0
XGene293__130,2,0
XGene293__284273,3,0
XGene293__125_124,1,0
XGene293__128,2,0
XGene293__124,1,0
XGene293__125,2,0
XGene293__131,3,0
XGene293__125_126,2,0
XGene294__125_126,2,0
XGene294__137872,2,0
XGene294__125_124,2,0
XGene294__127,1,0
XGene294__130,2,0
XGene294__284273,2,0
XGene294__126,1,0
XGene294__124,1,0
XGene294__128,2,0
XGene294__125,1,0
XGene294__131,2,0
XGene294__126_124,1,0
XGene295__10327,2,0
XMetab__800___c____,1,0
XGene296__216,2,0
XGene296__8854,3,0
XGene296__501,2,0
XGene296__223,2,0
